session_id,customer_id,vehicle_id,station_id,charger_id,charger_type,start_time,end_time,initial_soc,target_soc,energy_consumed_kwh,charging_duration_minutes,station_utilization,queue_length,cost_inr,payment_method,date,hour,day_of_week,month,is_weekend,is_peak_hour,soc_gap,customer_segment,station_name,city,total_chargers,customer_type,customer_city,vehicle_type,vehicle_model,battery_capacity_kwh
22430,CU03378,V03202,S018,C0119,DC_FAST,2025-03-24 20:07:00,2025-03-24 20:44:11.067159028,21,71,35.0,37.2,0.9,4,700.0,UPI,2025-03-24,20,Monday,March,0,1,50,Regular,Sector 137,Gurgaon,7,Individual,Delhi,SUV,Tata Nexon EV,70
24644,CU01499,V06479,S007,C0050,DC,2025-12-17 17:59:00,2025-12-17 18:52:02.254030516,53,87,20.4,53.0,0.8,4,326.4,Wallet,2025-12-17,17,Wednesday,December,0,0,34,Regular,MG Road,Delhi,9,Individual,Delhi,Sedan,MG5,60
30348,CU00139,V04700,S005,C0027,DC,2025-10-30 10:44:00,2025-10-30 10:52:00.000000000,50,96,1.38,8.0,0.42,4,22.08,Wallet,2025-10-30,10,Thursday,October,0,0,46,Regular,Rajouri Garden,Delhi,9,Individual,Noida,Two-Wheeler,Ather 450X,3
61036,CU01357,V04815,S020,C0131,DC_FAST,2025-09-07 11:04:00,2025-09-07 11:17:55.152316799,11,32,12.6,13.9,0.47,2,252.0,Debit Card,2025-09-07,11,Sunday,September,1,0,21,Regular,Sohna Road,Delhi,7,Individual,Ghaziabad,Commercial Van,Tata Ace EV,60
22943,CU03028,V00905,S015,C0101,AC,2025-12-29 21:16:00,2025-12-30 00:28:15.849161055,19,88,20.7,192.3,0.35,1,248.4,UPI,2025-12-29,21,Monday,December,0,0,69,Regular,Sector 29,Delhi,8,Individual,Gurgaon,Hatchback,Tata Tiago EV,30
18272,CU03084,V07215,S006,C0042,DC_FAST,2025-08-16 07:01:00,2025-08-16 07:26:19.899834521,25,52,19.2,25.3,0.44,6,324.0,UPI,2025-08-16,7,Saturday,August,1,0,27,Regular,Karol Bagh,Delhi,9,Individual,Faridabad,Sedan,MG5,60
43207,CU03290,V03839,S008,C0053,AC,2025-02-20 09:13:00,2025-02-20 17:40:24.978958660,13,63,50.0,507.4,0.8,6,600.0,UPI,2025-02-20,9,Thursday,February,0,1,50,Regular,Sector 62,Faridabad,6,Individual,Noida,SUV,Tata Nexon EV,100
30256,CU00075,V07741,S011,C0076,AC,2025-09-25 10:48:00,2025-09-25 12:09:56.184120465,6,41,12.25,81.9,0.4,4,147.0,UPI,2025-09-25,10,Thursday,September,0,0,35,Regular,Vasant Kunj,Delhi,4,Fleet,Faridabad,Hatchback,MG Comet,35
24639,CU02709,V04639,S005,C0028,AC,2025-07-05 16:05:00,2025-07-05 18:00:48.784926541,17,83,19.8,115.8,0.23,4,237.6,Credit Card,2025-07-05,16,Saturday,July,1,0,66,Regular,Rajouri Garden,Delhi,9,Fleet,Gurgaon,Hatchback,Tata Tiago EV,30
40160,CU04016,V01071,S001,C0005,AC,2025-11-11 08:36:00,2025-11-11 09:02:40.623471747,23,73,2.0,26.7,0.36,1,24.0,UPI,2025-11-11,8,Tuesday,November,0,1,50,Regular,Connaught Place,Gurgaon,6,Individual,Faridabad,Two-Wheeler,Ather 450X,4
36468,CU02335,V03573,S001,C0004,DC,2025-06-07 22:57:00,2025-06-07 23:05:00.000000000,50,100,2.0,8.0,0.58,3,32.0,UPI,2025-06-07,22,Saturday,June,1,0,50,Regular,Connaught Place,Gurgaon,6,Individual,Faridabad,Two-Wheeler,Ola S1,4
48802,CU04042,V06935,S009,C0059,AC,2025-02-21 06:18:00,2025-02-21 08:59:50.416431756,6,26,16.4,161.8,0.62,1,196.8,UPI,2025-02-21,6,Friday,February,0,0,20,Regular,Dwarka Sector 21,Gurgaon,7,Fleet,Noida,SUV,Mahindra XUV400,82
61119,CU04562,V04635,S008,C0055,AC,2025-10-28 08:23:00,2025-10-28 09:37:11.912959310,16,71,22.0,74.2,0.72,4,264.0,UPI,2025-10-28,8,Tuesday,October,0,1,55,Regular,Sector 62,Faridabad,6,Individual,Gurgaon,Hatchback,Tata Tiago EV,40
