charger_id,station_id,charger_type,power_kw,status,installed_date
C0001,S001,DC_FAST,90,Active,2022-01-27
C0002,S001,AC,11,Active,2022-01-27
C0003,S001,DC,60,Active,2022-01-27
C0004,S001,DC,30,Active,2022-01-27
C0005,S001,AC,7,Active,2022-01-27
C0006,S001,AC,22,Active,2022-01-27
C0007,S002,AC,11,Under Maintenance,2022-02-23
C0008,S002,AC,7,Active,2022-02-23
C0009,S002,AC,7,Active,2022-02-23
C0010,S002,DC,60,Active,2022-02-23
C0011,S002,DC,60,Active,2022-02-23
C0012,S003,AC,11,Active,2021-10-16
C0013,S003,AC,22,Active,2021-10-16
C0014,S003,AC,11,Active,2021-10-16
C0015,S003,AC,22,Active,2021-10-16
C0016,S003,DC_FAST,90,Active,2021-10-16
C0017,S003,AC,22,Active,2021-10-16
C0018,S003,DC,30,Active,2021-10-16
C0019,S004,AC,22,Active,2022-01-14
C0020,S004,AC,7,Active,2022-01-14
C0021,S004,AC,7,Active,2022-01-14
C0022,S004,DC_FAST,120,Active,2022-01-14
C0023,S004,DC,30,Active,2022-01-14
C0024,S004,DC_FAST,150,Active,2022-01-14
C0025,S004,DC_FAST,120,Under Maintenance,2022-01-14
C0026,S005,AC,7,Active,2021-08-19
C0027,S005,DC,30,Active,2021-08-19
C0028,S005,AC,11,Active,2021-08-19
C0029,S005,AC,22,Active,2021-08-19
C0030,S005,DC,60,Under Maintenance,2021-08-19
C0031,S005,DC,60,Active,2021-08-19
C0032,S005,DC_FAST,90,Active,2021-08-19
C0033,S005,AC,11,Under Maintenance,2021-08-19
C0034,S005,DC_FAST,150,Active,2021-08-19
C0035,S006,AC,22,Active,2023-10-15
C0036,S006,AC,22,Active,2023-10-15
C0037,S006,DC_FAST,150,Active,2023-10-15
C0038,S006,DC_FAST,150,Active,2023-10-15
C0039,S006,DC,60,Active,2023-10-15
C0040,S006,AC,11,Active,2023-10-15
C0041,S006,DC,30,Active,2023-10-15
C0042,S006,DC_FAST,120,Active,2023-10-15
C0043,S006,DC,60,Active,2023-10-15
