customer_id,customer_type,city,registration_date
CU00001,Fleet,Ghaziabad,2023-05-23
CU00002,Individual,Ghaziabad,2024-04-15
CU00003,Individual,Faridabad,2023-10-13
CU00004,Individual,Noida,2022-07-24
CU00005,Fleet,Noida,2023-01-16
CU00006,Individual,Faridabad,2025-01-01
CU00007,Individual,Faridabad,2025-01-04
CU00008,Fleet,Faridabad,2022-03-18
CU00009,Individual,Noida,2024-03-26
CU00010,Individual,Faridabad,2024-02-07
CU00011,Fleet,Delhi,2023-02-14
CU00012,Fleet,Ghaziabad,2022-04-16
CU00013,Individual,Ghaziabad,2023-07-05
CU00014,Individual,Gurgaon,2024-04-05
CU00015,Individual,Gurgaon,2022-03-29
CU00016,Fleet,Ghaziabad,2024-05-30
CU00017,Individual,Delhi,2025-01-05
CU00018,Individual,Noida,2025-01-05
CU00019,Individual,Noida,2023-06-24
CU00020,Fleet,Delhi,2022-09-02
CU00021,Individual,Noida,2023-08-01
CU00022,Fleet,Faridabad,2024-09-08
CU00023,Individual,Ghaziabad,2023-12-18
CU00024,Individual,Ghaziabad,2022-05-22
CU00025,Fleet,Delhi,2024-06-11
CU00026,Individual,NOIDA,2025-01-12
CU00027,Individual,Gurgaon,2025-03-12
CU00028,Fleet,Gurgaon,2022-12-18
CU00029,Individual,Noida,2023-06-29
CU00030,Individual,Gurgaon,2024-07-01
CU00031,Individual,Delhi,2022-06-01
CU00032,Individual,Delhi,2025-03-27
CU00033,Individual,Noida,2023-10-15
CU00034,Individual,Gurgaon,2024-08-15
CU00035,Individual,Delhi,2024-02-02
CU00036,Individual,Delhi,2023-09-16
CU00037,Individual,Faridabad,2023-10-18
CU00038,Individual,Faridabad,2023-03-26
CU00039,Individual,Delhi,2023-12-22
CU00040,Individual,Noida,2025-06-01
CU00041,Individual,Ghaziabad,2022-02-12
CU00042,Individual,Ghaziabad,2022-09-21
CU00043,Individual,Delhi,2024-10-23
CU00044,Individual,Delhi,2023-08-19
CU00045,Individual,Delhi,2024-11-05
CU00046,Individual,Noida,2024-12-18
CU00047,Fleet,Faridabad,2024-10-09
CU00048,Individual,Delhi,2022-06-26
CU00049,Individual,Delhi,2022-03-04
CU00050,Individual,Gurgaon,2024-08-15
CU00051,Fleet,Noida,2024-09-29
CU00052,Individual,Delhi,2023-07-15
CU00053,Individual,Gurgaon,2025-06-23
CU00054,Individual,GHAZIABAD,2024-08-12
CU00055,Individual,Delhi,2024-04-29
CU00056,Individual,Delhi,2023-08-27
CU00057,Individual,Gurgaon,2023-08-29
CU00058,Fleet,Noida,2024-04-09
CU00059,Individual,Delhi,2025-05-07
CU00060,Individual,Ghaziabad,2024-01-16
CU00061,Individual,Delhi,2023-07-12
CU00062,Individual,Ghaziabad,2022-03-05
CU00063,Individual,Faridabad,2025-06-07
CU00064,Individual,Faridabad,2024-07-30
CU00065,Individual,Ghaziabad,2022-09-06
CU00066,Individual,Noida,2025-06-23
CU00067,Individual,Delhi,2024-07-28
CU00068,Individual,Delhi,2022-06-06
CU00069,Individual,Faridabad,2024-01-05
CU00070,Fleet,Ghaziabad,2024-09-11
CU00071,Fleet,Delhi,2025-01-16
CU00072,Individual,Delhi,2024-12-25
CU00073,Individual,Noida,2023-10-24
CU00074,Individual,Gurgaon,2024-11-09
CU00075,Fleet,Faridabad,2022-02-02
CU00076,Individual,FARIDABAD,2023-07-12
CU00077,Individual,Gurgaon,2022-03-14
CU00078,Individual,Delhi,2024-04-04
CU00079,Individual,Noida,2025-03-02
CU00080,Individual,Noida,2024-12-14
CU00081,Fleet,Faridabad,2022-03-02
CU00082,Fleet,Noida,2022-09-29
CU00083,Individual,Gurgaon,2022-09-03
CU00084,Fleet,Delhi,2025-04-14
CU00085,Individual,Gurgaon,2023-09-20
CU00086,Individual,Ghaziabad,2023-12-06
CU00087,Individual,Faridabad,2023-10-24
CU00088,Fleet,Noida,2025-02-28
CU00089,Individual,Ghaziabad,2025-01-30
CU00090,Individual,Noida,2022-11-06
CU00091,Individual,Delhi,2023-05-10
CU00092,Individual,Delhi,2022-12-04
CU00093,Individual,Delhi,2023-08-02
CU00094,Individual,NOIDA,2022-01-10
CU00095,Individual,Ghaziabad,2022-02-18
CU00096,Individual,Delhi,2023-09-15
CU00097,Individual,Ghaziabad,2024-01-01
CU00098,Individual,Noida,2024-03-05
CU00099,Individual,Ghaziabad,2024-08-28
CU00100,Individual,Noida,2022-05-13
CU00101,Fleet,Noida,2022-03-24
CU00102,Individual,Faridabad,2022-02-26
CU00103,Individual,Noida,2023-01-11
CU00104,Fleet,Noida,2022-12-15
CU00105,Fleet,Gurgaon,2022-09-28
CU00106,Fleet,Delhi,2022-04-21
CU00107,Individual,Faridabad,2024-05-18
CU00108,Individual,Faridabad,2024-06-05
CU00109,Individual,Faridabad,2022-03-17
CU00110,Individual,Gurgaon,2025-03-27
CU00111,Individual,Noida,2022-11-25
CU00112,Individual,Delhi,2022-05-02
CU00113,Individual,Ghaziabad,2022-02-10
CU00114,Fleet,Noida,2025-04-05
CU00115,Individual,Gurgaon,2024-07-10
CU00116,Individual,Noida,2023-10-04
CU00117,Individual,Noida,2024-11-12
CU00118,Fleet,Gurgaon,2022-10-06
CU00119,Individual,FARIDABAD,2024-02-02
CU00120,Individual,Faridabad,2023-04-14
CU00121,Fleet,Delhi,2022-01-09
CU00122,Individual,Delhi,2022-01-13
CU00123,Individual,Faridabad,2024-07-12
CU00124,Individual,Ghaziabad,2024-07-11
CU00125,Individual,Noida,2024-12-11
CU00126,Individual,Ghaziabad,2025-05-17
CU00127,Fleet,Noida,2025-04-29
CU00128,Individual,Faridabad,2024-12-10
CU00129,Fleet,Delhi,2023-10-15
CU00130,Individual,Delhi,2023-09-13
CU00131,Individual,Ghaziabad,2022-07-15
CU00132,Individual,Delhi,2023-02-21
CU00133,Individual,Faridabad,2023-10-26
CU00134,Fleet,Ghaziabad,2022-05-28
CU00135,Individual,Noida,2024-09-27
CU00136,Individual,Delhi,2022-12-30
CU00137,Individual,Gurgaon,2023-02-06
CU00138,Fleet,Delhi,2023-08-29
CU00139,Individual,Noida,2022-08-17
CU00140,Fleet,Ghaziabad,2023-06-21
CU00141,Individual,Noida,2022-09-25
CU00142,Individual,GURGAON,2024-10-31
CU00143,Fleet,Faridabad,2022-05-06
CU00144,Individual,Delhi,2022-11-02
CU00145,Individual,Ghaziabad,2025-01-17
CU00146,Individual,Faridabad,2023-09-20
CU00147,Individual,Noida,2023-11-20
CU00148,Individual,Ghaziabad,2024-11-03
CU00149,Individual,Faridabad,2025-05-17
CU00150,Individual,Ghaziabad,2022-10-08
CU00151,Individual,Gurgaon,2023-03-19
CU00152,Individual,Gurgaon,2024-04-16
CU00153,Individual,Delhi,2023-01-24
CU00154,Individual,Delhi,2023-09-09
CU00155,Individual,Gurgaon,2022-05-27
CU00156,Individual,Ghaziabad,2023-06-05
CU00157,Fleet,Gurgaon,2023-09-22
CU00158,Individual,Delhi,2023-03-10
CU00159,Individual,Gurgaon,2022-05-24
CU00160,Individual,Gurgaon,2022-10-16
CU00161,Fleet,Ghaziabad,2022-01-14
CU00162,Individual,Faridabad,2022-09-14
CU00163,Fleet,Delhi,2025-05-15
CU00164,Fleet,Ghaziabad,2024-05-07
CU00165,Fleet,Gurgaon,2024-07-31
CU00166,Individual,Gurgaon,2025-04-10
CU00167,Fleet,Faridabad,2023-04-09
CU00168,Fleet,Delhi,2022-09-27
CU00169,Fleet,Delhi,2025-05-29
CU00170,Individual,Noida,2025-03-21
CU00171,Fleet,Delhi,2023-09-15
CU00172,Individual,Faridabad,2025-04-21
CU00173,Fleet,Noida,2022-03-13
CU00174,Fleet,Noida,2022-03-15
CU00175,Individual,Gurgaon,2022-12-21
CU00176,Fleet,Gurgaon,2023-05-12
CU00177,Individual,Delhi,2024-09-14
CU00178,Fleet,Noida,2023-08-03
CU00179,Individual,Gurgaon,2024-06-28
CU00180,Fleet,Faridabad,2023-01-08
CU00181,Fleet,Gurgaon,2022-12-28
CU00182,Individual,Gurgaon,2022-04-03
CU00183,Individual,Noida,2022-11-20
CU00184,Fleet,Noida,2023-01-19
CU00185,Fleet,Ghaziabad,2023-07-29
CU00186,Individual,Faridabad,2024-01-06
CU00187,Individual,Noida,2024-01-07
CU00188,Individual,Delhi,2022-12-12
CU00189,Individual,Faridabad,2025-01-31
CU00190,Individual,Faridabad,2025-05-23
CU00191,Individual,Noida,2025-04-30
CU00192,Individual,Faridabad,2023-12-20
CU00193,Fleet,Noida,2024-02-20
CU00194,Individual,GURGAON,2024-10-16
CU00195,Fleet,Ghaziabad,2025-05-02
CU00196,Fleet,Gurgaon,2023-10-26
CU00197,Individual,Noida,2023-08-23
CU00198,Individual,Noida,2022-01-11
CU00199,Individual,Gurgaon,2022-07-06
CU00200,Individual,Delhi,2023-12-27
CU00201,Individual,Delhi,2024-11-04
CU00202,Individual,Delhi,2024-02-17
CU00203,Individual,Noida,2023-02-15
CU00204,Individual,Faridabad,2024-08-13
CU00205,Fleet,Noida,2023-08-08
CU00206,Individual,Faridabad,2024-12-11
CU00207,Individual,Gurgaon,2024-11-17
CU00208,Individual,GHAZIABAD,2023-07-31
CU00209,Individual,Faridabad,2024-11-06
CU00210,Individual,Delhi,2025-06-06
CU00211,Fleet,Noida,2024-09-15
CU00212,Individual,Gurgaon,2025-05-18
CU00213,Individual,Delhi,2024-01-13
CU00214,Individual,Gurgaon,2025-02-01
CU00215,Individual,Ghaziabad,2022-07-23
CU00216,Individual,Noida,2024-12-12
CU00217,Individual,Noida,2024-08-31
CU00218,Fleet,Ghaziabad,2024-07-28
CU00219,Individual,Noida,2024-12-13
CU00220,Individual,Faridabad,2024-11-20
CU00221,Individual,GURGAON,2025-03-04
CU00222,Individual,Delhi,2024-12-17
CU00223,Fleet,Ghaziabad,2022-04-15
CU00224,Individual,Faridabad,2022-09-10
CU00225,Individual,Delhi,2022-10-22
CU00226,Individual,Delhi,2023-10-30
CU00227,Individual,Ghaziabad,2025-03-27
CU00228,Individual,Faridabad,2023-07-03
CU00229,Individual,Delhi,2023-09-23
CU00230,Individual,Delhi,2024-12-26
CU00231,Individual,Faridabad,2022-10-26
CU00232,Individual,Noida,2022-04-11
CU00233,Individual,Delhi,2024-12-15
CU00234,Individual,Gurgaon,2022-11-28
CU00235,Individual,Faridabad,2024-04-15
CU00236,Individual,Delhi,2023-01-28
CU00237,Individual,Ghaziabad,2024-05-23
CU00238,Individual,Gurgaon,2023-01-16
CU00239,Individual,Delhi,2022-04-02
CU00240,Individual,Gurgaon,2023-03-23
CU00241,Individual,Gurgaon,2022-04-19
CU00242,Individual,Noida,2022-11-13
CU00243,Fleet,Gurgaon,2025-04-06
CU00244,Individual,Noida,2023-03-18
CU00245,Individual,Faridabad,2022-08-06
CU00246,Fleet,Noida,2025-05-30
CU00247,Individual,Ghaziabad,2023-11-04
CU00248,Individual,Delhi,2022-10-05
CU00249,Individual,Faridabad,2024-10-05
CU00250,Individual,Faridabad,2023-07-23
CU00251,Individual,Ghaziabad,2024-10-06
CU00252,Individual,Noida,2024-05-24
CU00253,Individual,Delhi,2023-04-11
CU00254,Individual,Noida,2024-04-18
CU00255,Individual,Gurgaon,2024-01-24
CU00256,Individual,Noida,2024-04-17
CU00257,Individual,Faridabad,2022-01-30
CU00258,Individual,Delhi,2022-12-25
CU00259,Individual,Noida,2022-03-27
CU00260,Individual,Delhi,2025-06-11
CU00261,Individual,Delhi,2024-01-17
CU00262,Individual,Gurgaon,2022-11-09
CU00263,Individual,Gurgaon,2022-12-31
CU00264,Individual,Faridabad,2024-06-23
CU00265,Individual,Ghaziabad,2023-11-29
CU00266,Individual,Delhi,2022-05-11
CU00267,Individual,Ghaziabad,2024-03-13
CU00268,Individual,Faridabad,2024-02-28
CU00269,Individual,Delhi,2022-12-17
CU00270,Fleet,Delhi,2022-06-29
CU00271,Individual,Ghaziabad,2025-04-01
CU00272,Individual,Noida,2025-01-24
CU00273,Individual,Gurgaon,2024-02-13
CU00274,Fleet,Noida,2023-05-25
CU00275,Fleet,Ghaziabad,2022-12-31
CU00276,Individual,Gurgaon,2024-09-07
CU00277,Fleet,Noida,2022-12-19
CU00278,Individual,Gurgaon,2024-03-10
CU00279,Fleet,Delhi,2025-01-11
CU00280,Individual,Noida,2025-06-02
CU00281,Individual,Gurgaon,2023-02-16
CU00282,Individual,Gurgaon,2024-01-05
CU00283,Individual,Gurgaon,2024-09-07
CU00284,Individual,Noida,2022-04-28
CU00285,Individual,Faridabad,2023-04-27
CU00286,Individual,Noida,2022-07-11
CU00287,Individual,Ghaziabad,2023-08-14
CU00288,Individual,Noida,2023-08-13
CU00289,Fleet,Gurgaon,2023-10-21
CU00290,Individual,Delhi,2022-04-17
CU00291,Individual,Noida,2023-01-17
CU00292,Fleet,Noida,2024-02-22
CU00293,Individual,Gurgaon,2023-01-25
CU00294,Individual,Delhi,2022-09-01
CU00295,Individual,Delhi,2023-08-08
CU00296,Individual,Ghaziabad,2024-05-18
CU00297,Individual,Noida,2023-04-13
CU00298,Individual,Delhi,2024-05-15
CU00299,Fleet,Delhi,2024-07-22
CU00300,Individual,Faridabad,2025-05-18
CU00301,Individual,Faridabad,2023-08-27
CU00302,Individual,Delhi,2024-10-11
CU00303,Individual,Ghaziabad,2025-01-01
CU00304,Individual,Delhi,2024-05-09
CU00305,Individual,Gurgaon,2025-04-24
CU00306,Individual,Noida,2025-06-30
CU00307,Individual,Ghaziabad,2022-01-13
CU00308,Individual,Gurgaon,2022-10-26
CU00309,Individual,Ghaziabad,2025-01-04
CU00310,Individual,Gurgaon,2024-12-10
CU00311,Individual,Noida,2024-02-26
CU00312,Fleet,NOIDA,2022-05-29
CU00313,Fleet,Faridabad,2022-05-02
CU00314,Individual,Gurgaon,2025-05-19
CU00315,Individual,Faridabad,2023-06-22
CU00316,Individual,Gurgaon,2025-03-25
CU00317,Individual,Faridabad,2025-06-15
CU00318,Individual,Noida,2023-01-11
CU00319,Individual,Ghaziabad,2022-03-23
CU00320,Individual,Faridabad,2023-05-07
CU00321,Individual,Gurgaon,2022-12-22
CU00322,Individual,Gurgaon,2024-07-13
CU00323,Individual,NOIDA,2024-12-03
CU00324,Individual,Gurgaon,2024-10-01
CU00325,Fleet,Delhi,2022-05-03
CU00326,Individual,Ghaziabad,2023-12-09
CU00327,Individual,Faridabad,2022-11-26
CU00328,Individual,Ghaziabad,2024-09-17
CU00329,Fleet,Noida,2022-11-19
CU00330,Individual,Faridabad,2025-02-08
