station_id,date,electricity_consumed_kwh,electricity_cost_inr
S001,2025-01-01,205.7,1748.45
S001,2025-01-02,79.5,675.75
S001,2025-01-03,143.78,1222.13
S001,2025-01-04,92.83,789.06
S001,2025-01-05,206.54,1755.59
S001,2025-01-06,138.25,1175.12
S001,2025-01-07,16.47,140.0
S001,2025-01-08,85.58,727.43
S001,2025-01-09,239.58,2036.43
S001,2025-01-10,162.83,1384.06
S001,2025-01-11,84.23,715.96
S001,2025-01-12,158.6,1348.1
S001,2025-01-13,56.71,482.04
S001,2025-01-14,41.33,351.3
S001,2025-01-15,173.89,1478.06
S001,2025-01-16,58.5,497.25
S001,2025-01-17,149.41,1269.98
S001,2025-01-18,180.64,1535.44
S001,2025-01-19,1.16,9.86
S001,2025-01-20,108.91,925.74
S001,2025-01-21,40.78,346.63
S001,2025-01-22,142.46,1210.91
S001,2025-01-23,38.06,323.51
S001,2025-01-24,117.28,996.88
S001,2025-01-25,125.67,1068.2
S001,2025-01-26,124.7,1059.95
S001,2025-01-27,24.15,205.27
S001,2025-01-28,27.53,234.0
S001,2025-01-29,100.64,855.44
S001,2025-01-30,88.88,755.48
S001,2025-01-31,107.07,910.09
S001,2025-02-01,200.67,1705.7
S001,2025-02-02,110.65,940.53
S001,2025-02-03,72.51,616.34
S001,2025-02-04,195.56,1662.26
S001,2025-02-05,94.28,801.38
S001,2025-02-06,111.23,945.46
S001,2025-02-07,314.11,2669.94
S001,2025-02-08,66.08,561.68
S001,2025-02-09,328.29,2790.46
S001,2025-02-10,193.42,1644.07
S001,2025-02-11,201.75,1714.88
S001,2025-02-12,219.11,1862.44
S001,2025-02-13,130.06,1105.51
S001,2025-02-14,114.54,973.59
S001,2025-02-15,44.05,374.42
S001,2025-02-16,45.88,389.98
S001,2025-02-17,221.61,1883.69
S001,2025-02-18,290.87,2472.4
S001,2025-02-19,215.32,1830.22
S001,2025-02-20,247.08,2100.18
S001,2025-02-21,116.59,991.02
S001,2025-02-22,132.4,1125.4
S001,2025-02-23,211.82,1800.47
S001,2025-02-24,74.83,636.05
S001,2025-02-25,69.34,589.39
S001,2025-02-26,234.37,1992.14
S001,2025-02-27,134.81,1145.88
S001,2025-02-28,153.93,1308.4
S001,2025-03-01,392.52,3336.42
S001,2025-03-02,76.86,653.31
S001,2025-03-03,132.12,1123.02
S001,2025-03-04,263.81,2242.39
S001,2025-03-05,70.22,596.87
S001,2025-03-06,79.91,679.24
S001,2025-03-07,127.19,1081.12
S001,2025-03-08,147.2,1251.2
S001,2025-03-09,188.74,1604.29
S001,2025-03-10,310.84,2642.14
S001,2025-03-11,191.7,1629.45
S001,2025-03-12,187.71,1595.54
S001,2025-03-13,215.84,1834.64
S001,2025-03-14,96.85,823.22
S001,2025-03-15,262.93,2234.91
S001,2025-03-16,79.76,677.96
S001,2025-03-17,122.19,1038.62
S001,2025-03-18,76.86,653.31
S001,2025-03-19,34.85,296.23
S001,2025-03-20,125.84,1069.64
S001,2025-03-21,270.51,2299.34
S001,2025-03-22,94.44,802.74
S001,2025-03-23,188.85,1605.22
S001,2025-03-24,113.83,967.56
S001,2025-03-25,98.02,833.17
S001,2025-03-26,233.92,1988.32
S001,2025-03-27,128.45,1091.82
S001,2025-03-28,111.03,943.76
S001,2025-03-29,213.13,1811.6
S001,2025-03-30,168.74,1434.29
S001,2025-03-31,45.37,385.64
S001,2025-04-01,120.39,1023.32
S001,2025-04-02,330.23,2806.96
S001,2025-04-03,38.89,330.56
S001,2025-04-04,133.52,1134.92
S001,2025-04-05,162.25,1379.12
S001,2025-04-06,86.11,731.94
S001,2025-04-07,91.68,779.28
S001,2025-04-08,128.36,1091.06
S001,2025-04-09,78.79,669.72
S001,2025-04-10,104.16,885.36
S001,2025-04-11,80.16,681.36
S001,2025-04-12,39.3,334.05
S001,2025-04-13,235.12,1998.52
S001,2025-04-14,56.64,481.44
S001,2025-04-15,270.97,2303.25
S001,2025-04-16,78.46,666.91
S001,2025-04-17,245.16,2083.86
S001,2025-04-18,71.85,610.72
S001,2025-04-19,139.09,1182.27
S001,2025-04-20,125.33,1065.3
S001,2025-04-21,159.57,1356.34
S001,2025-04-22,148.74,1264.29
S001,2025-04-23,195.65,1663.02
S001,2025-04-24,150.32,1277.72
S001,2025-04-25,313.45,2664.32
S001,2025-04-26,116.95,994.08
S001,2025-04-27,322.01,2737.08
S001,2025-04-28,123.93,1053.4
S001,2025-04-29,182.5,1551.25
S001,2025-04-30,140.1,1190.85
S001,2025-05-01,171.55,1458.18
S001,2025-05-02,119.54,1016.09
S001,2025-05-03,207.45,1763.32
S001,2025-05-04,237.51,2018.84
S001,2025-05-05,193.74,1646.79
S001,2025-05-06,263.3,2238.05
S001,2025-05-07,171.04,1453.84
S001,2025-05-08,235.55,2002.18
S001,2025-05-09,167.73,1425.7
S001,2025-05-10,147.27,1251.8
S001,2025-05-11,271.89,2311.06
S001,2025-05-12,114.89,976.56
S001,2025-05-13,149.69,1272.36
S001,2025-05-14,173.62,1475.77
S001,2025-05-15,323.35,2748.48
S001,2025-05-16,178.31,1515.64
S001,2025-05-17,137.77,1171.04
S001,2025-05-18,303.22,2577.37
S001,2025-05-19,262.32,2229.72
S001,2025-05-20,253.25,2152.62
S001,2025-05-21,136.47,1159.99
S001,2025-05-22,227.5,1933.75
S001,2025-05-23,179.64,1526.94
S001,2025-05-24,158.83,1350.06
S001,2025-05-25,175.42,1491.07
S001,2025-05-26,253.89,2158.06
S001,2025-05-27,93.22,792.37
S001,2025-05-28,178.58,1517.93
S001,2025-05-29,91.07,774.09
S001,2025-05-30,105.89,900.06
S001,2025-05-31,160.88,1367.48
S001,2025-06-01,100.21,851.78
S001,2025-06-02,126.85,1078.22
S001,2025-06-03,291.71,2479.54
S001,2025-06-04,300.71,2556.04
S001,2025-06-05,199.35,1694.48
S001,2025-06-06,154.83,1316.06
S001,2025-06-07,146.33,1243.8
S001,2025-06-08,469.26,3988.71
S001,2025-06-09,180.75,1536.38
S001,2025-06-10,334.84,2846.14
S001,2025-06-11,92.75,788.38
S001,2025-06-12,119.78,1018.13
S001,2025-06-13,96.72,822.12
S001,2025-06-14,155.82,1324.47
S001,2025-06-15,433.44,3684.24
S001,2025-06-16,278.44,2366.74
S001,2025-06-17,250.59,2130.02
S001,2025-06-18,166.68,1416.78
S001,2025-06-19,254.43,2162.66
S001,2025-06-20,136.74,1162.29
S001,2025-06-21,278.23,2364.96
S001,2025-06-22,161.57,1373.34
S001,2025-06-23,55.86,474.81
S001,2025-06-24,300.5,2554.25
S001,2025-06-25,173.71,1476.54
S001,2025-06-26,153.74,1306.79
S001,2025-06-27,43.98,373.83
S001,2025-06-28,266.74,2267.29
S001,2025-06-29,193.36,1643.56
S001,2025-06-30,290.96,2473.16
S001,2025-07-01,247.35,2102.48
S001,2025-07-02,332.39,2825.32
S001,2025-07-03,242.58,2061.93
S001,2025-07-04,217.56,1849.26
S001,2025-07-05,130.47,1108.99
S001,2025-07-06,219.77,1868.04
S001,2025-07-07,195.78,1664.13
S001,2025-07-08,58.21,494.78
S001,2025-07-09,110.1,935.85
S001,2025-07-10,120.23,1021.96
S001,2025-07-11,150.57,1279.84
S001,2025-07-12,189.09,1607.26
S001,2025-07-13,250.97,2133.24
S001,2025-07-14,169.81,1443.38
S001,2025-07-15,194.79,1655.72
S001,2025-07-16,232.95,1980.07
S001,2025-07-17,157.36,1337.56
S001,2025-07-18,212.51,1806.34
S001,2025-07-19,203.44,1729.24
S001,2025-07-20,127.74,1085.79
S001,2025-07-21,153.9,1308.15
S001,2025-07-22,116.18,987.53
S001,2025-07-23,144.27,1226.3
S001,2025-07-24,220.81,1876.88
S001,2025-07-25,143.09,1216.27
S001,2025-07-26,206.7,1756.95
S001,2025-07-27,162.45,1380.82
S001,2025-07-28,282.7,2402.95
S001,2025-07-29,291.09,2474.26
S001,2025-07-30,351.74,2989.79
S001,2025-07-31,189.95,1614.57
S001,2025-08-01,398.56,3387.76
S001,2025-08-02,307.21,2611.28
S001,2025-08-03,147.44,1253.24
S001,2025-08-04,106.94,908.99
S001,2025-08-05,413.39,3513.82
S001,2025-08-06,287.12,2440.52
S001,2025-08-07,84.61,719.18
S001,2025-08-08,348.75,2964.38
S001,2025-08-09,124.05,1054.42
S001,2025-08-10,150.5,1279.25
S001,2025-08-11,278.29,2365.46
S001,2025-08-12,310.56,2639.76
S001,2025-08-13,399.5,3395.75
S001,2025-08-14,211.89,1801.06
S001,2025-08-15,259.88,2208.98
S001,2025-08-16,164.98,1402.33
S001,2025-08-17,252.96,2150.16
S001,2025-08-18,235.51,2001.84
S001,2025-08-19,284.63,2419.36
S001,2025-08-20,288.08,2448.68
S001,2025-08-21,313.33,2663.3
S001,2025-08-22,316.03,2686.25
S001,2025-08-23,168.5,1432.25
S001,2025-08-24,346.03,2941.25
S001,2025-08-25,171.02,1453.67
S001,2025-08-26,120.12,1021.02
S001,2025-08-27,121.0,1028.5
S001,2025-08-28,276.93,2353.91
S001,2025-08-29,410.7,3490.95
S001,2025-08-30,346.39,2944.32
S001,2025-08-31,370.18,3146.53
S001,2025-09-01,411.17,3494.94
S001,2025-09-02,232.05,1972.43
S001,2025-09-03,258.68,2198.78
S001,2025-09-04,253.75,2156.88
S001,2025-09-05,359.76,3057.96
S001,2025-09-06,187.67,1595.2
S001,2025-09-07,105.37,895.64
S001,2025-09-08,226.73,1927.2
S001,2025-09-09,343.44,2919.24
S001,2025-09-10,206.75,1757.38
S001,2025-09-11,220.95,1878.07
S001,2025-09-12,314.47,2673.0
S001,2025-09-13,257.3,2187.05
S001,2025-09-14,302.02,2567.17
S001,2025-09-15,363.93,3093.4
S001,2025-09-16,296.54,2520.59
S001,2025-09-17,349.3,2969.05
S001,2025-09-18,153.99,1308.92
S001,2025-09-19,319.88,2718.98
S001,2025-09-20,240.03,2040.26
S001,2025-09-21,372.02,3162.17
S001,2025-09-22,117.03,994.76
S001,2025-09-23,133.56,1135.26
S001,2025-09-24,186.8,1587.8
S001,2025-09-25,15.36,130.56
S001,2025-09-26,405.15,3443.77
S001,2025-09-27,96.16,817.36
S001,2025-09-28,185.35,1575.48
S001,2025-09-29,205.45,1746.32
S001,2025-09-30,320.63,2725.36
S001,2025-10-01,199.52,1695.92
S001,2025-10-02,211.2,1795.2
S001,2025-10-03,316.37,2689.14
S001,2025-10-04,290.48,2469.08
S001,2025-10-05,181.69,1544.36
S001,2025-10-06,348.94,2965.99
S001,2025-10-07,229.63,1951.86
S001,2025-10-08,307.47,2613.5
S001,2025-10-09,306.1,2601.85
S001,2025-10-10,219.3,1864.05
S001,2025-10-11,327.31,2782.14
S001,2025-10-12,119.51,1015.84
S001,2025-10-13,293.68,2496.28
S001,2025-10-14,274.81,2335.89
S001,2025-10-15,302.69,2572.86
S001,2025-10-16,382.68,3252.78
S001,2025-10-17,312.8,2658.8
S001,2025-10-18,119.3,1014.05
S001,2025-10-19,265.2,2254.2
S001,2025-10-20,131.54,1118.09
S001,2025-10-21,254.3,2161.55
S001,2025-10-22,223.44,1899.24
S001,2025-10-23,134.0,1139.0
S001,2025-10-24,124.52,1058.42
S001,2025-10-25,418.81,3559.88
S001,2025-10-26,592.63,5037.35
S001,2025-10-27,245.77,2089.04
S001,2025-10-28,293.36,2493.56
S001,2025-10-29,320.36,2723.06
S001,2025-10-30,312.79,2658.72
S001,2025-10-31,249.55,2121.18
S001,2025-11-01,482.17,4098.44
S001,2025-11-02,90.78,771.63
S001,2025-11-03,356.63,3031.36
S001,2025-11-04,284.94,2421.99
S001,2025-11-05,215.76,1833.96
S001,2025-11-06,144.85,1231.22
S001,2025-11-07,403.99,3433.92
S001,2025-11-08,297.36,2527.56
S001,2025-11-09,279.58,2376.43
S001,2025-11-10,378.99,3221.42
S001,2025-11-11,282.55,2401.68
S001,2025-11-12,335.54,2852.09
S001,2025-11-13,163.01,1385.58
S001,2025-11-14,166.45,1414.82
S001,2025-11-15,233.35,1983.48
S001,2025-11-16,271.04,2303.84
S001,2025-11-17,294.3,2501.55
S001,2025-11-18,200.41,1703.48
S001,2025-11-19,259.22,2203.37
S001,2025-11-20,202.59,1722.02
S001,2025-11-21,581.66,4944.11
S001,2025-11-22,450.4,3828.4
S001,2025-11-23,200.33,1702.8
S001,2025-11-24,144.77,1230.54
S001,2025-11-25,176.79,1502.72
S001,2025-11-26,269.22,2288.37
S001,2025-11-27,357.36,3037.56
S001,2025-11-28,214.94,1826.99
S001,2025-11-29,91.14,774.69
S001,2025-11-30,225.3,1915.05
S001,2025-12-01,395.05,3357.92
S001,2025-12-02,162.92,1384.82
S001,2025-12-03,230.85,1962.22
S001,2025-12-04,495.79,4214.22
S001,2025-12-05,329.42,2800.07
S001,2025-12-06,462.26,3929.21
S001,2025-12-07,294.49,2503.16
S001,2025-12-08,179.63,1526.86
S001,2025-12-09,380.12,3231.02
S001,2025-12-10,325.27,2764.8
S001,2025-12-11,152.74,1298.29
S001,2025-12-12,268.32,2280.72
S001,2025-12-13,300.75,2556.38
S001,2025-12-14,244.68,2079.78
S001,2025-12-15,223.44,1899.24
S001,2025-12-16,444.33,3776.8
S001,2025-12-17,367.78,3126.13
S001,2025-12-18,286.68,2436.78
S001,2025-12-19,115.64,982.94
S001,2025-12-20,282.47,2401.0
S001,2025-12-21,216.65,1841.52
S001,2025-12-22,274.3,2331.55
S001,2025-12-23,165.45,1406.32
S001,2025-12-24,299.19,2543.11
S001,2025-12-25,240.91,2047.74
S001,2025-12-26,402.93,3424.9
S001,2025-12-27,244.49,2078.16
S001,2025-12-28,221.81,1885.38
S001,2025-12-29,352.13,2993.1
S001,2025-12-30,416.7,3541.95
S001,2025-12-31,174.79,1485.72
S002,2025-01-02,83.41,708.98
S002,2025-01-03,166.67,1416.7
S002,2025-01-04,126.48,1075.08
S002,2025-01-05,81.63,693.86
S002,2025-01-06,25.38,215.73
S002,2025-01-07,126.47,1074.99
S002,2025-01-08,22.64,192.44
S002,2025-01-09,27.77,236.04
S002,2025-01-10,110.57,939.84
S002,2025-01-11,152.38,1295.23
S002,2025-01-12,192.99,1640.42
S002,2025-01-13,171.49,1457.66
S002,2025-01-14,45.95,390.58
S002,2025-01-15,27.99,237.92
S002,2025-01-16,161.26,1370.71
S002,2025-01-17,176.55,1500.68
S002,2025-01-18,33.05,280.92
S002,2025-01-19,98.08,833.68
S002,2025-01-20,141.57,1203.34
S002,2025-01-21,135.31,1150.14
S002,2025-01-22,110.5,939.25
S002,2025-01-23,48.25,410.12
S002,2025-01-24,40.85,347.22
S002,2025-01-25,99.04,841.84
S002,2025-01-26,22.0,187.0
S002,2025-01-27,86.25,733.12
S002,2025-01-28,33.85,287.73
S002,2025-01-29,61.94,526.49
S002,2025-01-30,290.32,2467.72
S002,2025-01-31,16.62,141.27
S002,2025-02-01,138.32,1175.72
S002,2025-02-02,326.11,2771.94
