queue_id,station_id,date,hour,vehicles_waiting,avg_wait_time_minutes
1,S001,2025-03-02,0,3,11.2
2,S001,2025-03-02,3,1,6.1
3,S001,2025-03-02,6,1,11.1
4,S001,2025-03-02,9,5,25.7
5,S001,2025-03-02,12,2,9.7
6,S001,2025-03-02,15,2,23.2
7,S001,2025-03-02,18,5,35.5
8,S001,2025-03-02,21,6,13.8
9,S001,2025-03-10,0,1,12.3
10,S001,2025-03-10,3,1,10.1
11,S001,2025-03-10,6,2,22.8
12,S001,2025-03-10,9,7,23.1
13,S001,2025-03-10,12,3,11.8
14,S001,2025-03-10,15,3,19.3
15,S001,2025-03-10,18,5,30.1
16,S001,2025-03-10,21,3,13.3
17,S001,2025-09-13,0,1,10.8
18,S001,2025-09-13,3,0,10.2
19,S001,2025-09-13,6,1,15.2
20,S001,2025-09-13,9,4,27.5
21,S001,2025-09-13,12,5,19.6
22,S001,2025-09-13,15,7,15.1
23,S001,2025-09-13,18,5,29.7
24,S001,2025-09-13,21,0,19.6
25,S001,2025-08-21,0,1,11.7
26,S001,2025-08-21,3,0,8.6
27,S001,2025-08-21,6,1,15.1
28,S001,2025-08-21,9,2,26.4
29,S001,2025-08-21,12,2,13.0
30,S001,2025-08-21,15,1,21.7
31,S001,2025-08-21,18,11,28.1
32,S001,2025-08-21,21,2,22.2
33,S001,2025-01-30,0,0,0.0
34,S001,2025-01-30,3,2,7.0
35,S001,2025-01-30,6,1,15.3
36,S001,2025-01-30,9,2,27.4
37,S001,2025-01-30,12,2,24.6
38,S001,2025-01-30,15,5,24.0
39,S001,2025-01-30,18,2,25.0
40,S001,2025-01-30,21,2,23.6
41,S001,2025-06-14,0,0,1.0
42,S001,2025-06-14,3,0,10.4
43,S001,2025-06-14,6,2,19.8
44,S001,2025-06-14,9,5,25.2
45,S001,2025-06-14,12,2,11.4
46,S001,2025-06-14,15,4,17.4
47,S001,2025-06-14,18,8,30.9
48,S001,2025-06-14,21,3,18.1
49,S001,2025-05-16,0,0,4.4
50,S001,2025-05-16,3,4,10.4
51,S001,2025-05-16,6,3,18.8
