vehicle_id,customer_id,vehicle_type,vehicle_model,battery_capacity_kwh,vehicle_age_years
V00001,CU01549,Hatchback,Tata Tiago EV,30,0
V00002,CU02640,Sedan,MG5,55,0
V00003,CU04767,Commercial Van,Mahindra Treo,80,3
V00004,CU04512,Two-Wheeler,Ola S1,2,0
V00005,CU02832,Sedan,MG5,50,0
V00006,CU01007,SUV,Tata Nexon EV,70,3
V00007,CU03222,Hatchback,Tata Tiago EV,40,3
V00008,CU03063,Two-Wheeler,Ather 450X,2,3
V00009,CU04524,Commercial Van,Mahindra Treo,60,1
V00010,CU03053,SUV,Tata Nexon EV,82,1
V00011,CU04430,Sedan,BYD Seal,50,0
V00012,CU02320,Hatchback,Tata Tiago EV,40,3
V00013,CU03540,SUV,Tata Nexon EV,82,4
V00014,CU02367,SUV,Tata Nexon EV,82,0
V00015,CU00527,SUV,Hyundai Ioniq 5,100,3
V00016,CU02808,Hatchback,Tata Tiago EV,30,0
V00017,CU01196,SUV,Hyundai Ioniq 5,100,2
V00018,CU01754,SUV,Mahindra XUV400,75,0
V00019,CU01673,Hatchback,MG Comet,35,2
V00020,CU02029,Hatchback,MG Comet,30,3
V00021,CU01655,Sedan,BYD Seal,55,3
V00022,CU04550,Two-Wheeler,Ola S1,2,2
V00023,CU04842,SUV,Mahindra XUV400,82,2
V00024,CU04042,Two-Wheeler,Ather 450X,2,3
V00025,CU00848,Sedan,BYD Seal,60,4
V00026,CU00868,Commercial Van,Tata Ace EV,60,2
V00027,CU00774,Two-Wheeler,Ather 450X,3,4
V00028,CU00543,Sedan,BYD Seal,50,3
V00029,CU04418,Hatchback,MG Comet,40,4
V00030,CU00786,Sedan,MG5,60,4
V00031,CU03306,Commercial Van,Mahindra Treo,80,2
V00032,CU04636,Sedan,BYD Seal,50,2
V00033,CU02884,Sedan,BYD Seal,55,2
V00034,CU00449,Hatchback,Tata Tiago EV,30,1
V00035,CU03311,Two-Wheeler,Ather 450X,3,2
V00036,CU04586,Sedan,MG5,55,3
V00037,CU01906,Sedan,MG5,60,1
V00038,CU04560,Sedan,BYD Seal,60,2
V00039,CU04410,Sedan,BYD Seal,55,3
V00040,CU03252,Sedan,MG5,60,4
V00041,CU00385,SUV,Tata Nexon EV,75,3
V00042,CU00295,Two-Wheeler,Ather 450X,3,3
V00043,CU01239,Two-Wheeler,Ola S1,3,4
V00044,CU04858,Two-Wheeler,Ather 450X,2,2
V00045,CU02817,Hatchback,MG Comet,35,3
V00046,CU01099,Two-Wheeler,Ather 450X,2,3
V00047,CU01738,Hatchback,MG Comet,30,1
V00048,CU02190,Hatchback,MG Comet,30,1
V00049,CU02766,Commercial Van,Mahindra Treo,120,2
V00050,CU01223,Two-Wheeler,Ather 450X,4,2
V00051,CU03243,SUV,Hyundai Ioniq 5,70,0
V00052,CU03900,Two-Wheeler,Ola S1,4,4
V00053,CU04324,Commercial Van,Tata Ace EV,60,4
V00054,CU00411,SUV,Tata Nexon EV,82,4
V00055,CU03000,SUV,Mahindra XUV400,70,0
V00056,CU02946,Two-Wheeler,Ather 450X,4,4
V00057,CU04787,Hatchback,MG Comet,40,3
V00058,CU00878,Hatchback,MG Comet,30,0
V00059,CU00787,Two-Wheeler,Ather 450X,4,2
V00060,CU02110,Sedan,MG5,50,3
V00061,CU01987,Hatchback,Tata Tiago EV,30,4
V00062,CU00879,Sedan,MG5,50,1
V00063,CU01608,Sedan,MG5,60,0
V00064,CU02404,Commercial Van,Tata Ace EV,80,0
V00065,CU00071,SUV,Hyundai Ioniq 5,75,2
V00066,CU02311,SUV,Hyundai Ioniq 5,100,0
V00067,CU04402,Commercial Van,Mahindra Treo,60,4
V00068,CU03296,Commercial Van,Tata Ace EV,80,1
V00069,CU00762,SUV,Hyundai Ioniq 5,75,1
V00070,CU04684,Commercial Van,Tata Ace EV,80,2
V00071,CU02122,Sedan,MG5,55,2
V00072,CU03583,Hatchback,MG Comet,35,0
V00073,CU04198,Hatchback,Tata Tiago EV,30,1
V00074,CU01630,SUV,Hyundai Ioniq 5,100,4
V00075,CU04289,SUV,Hyundai Ioniq 5,100,0
V00076,CU01086,SUV,Mahindra XUV400,100,4
V00077,CU02458,SUV,Hyundai Ioniq 5,82,3
V00078,CU04396,Hatchback,MG Comet,40,3
V00079,CU03267,Hatchback,Tata Tiago EV,30,4
V00080,CU00454,SUV,Mahindra XUV400,70,3
V00081,CU02622,Hatchback,MG Comet,40,4
V00082,CU00619,SUV,Tata Nexon EV,100,3
V00083,CU00637,SUV,Hyundai Ioniq 5,100,1
V00084,CU02349,SUV,Mahindra XUV400,100,3
V00085,CU04875,Sedan,MG5,60,4
V00086,CU03037,SUV,Hyundai Ioniq 5,82,2
V00087,CU02250,Two-Wheeler,Ola S1,4,1
V00088,CU02722,Commercial Van,Tata Ace EV,120,1
V00089,CU02350,Two-Wheeler,Ola S1,4,1
V00090,CU04433,SUV,Hyundai Ioniq 5,75,1
V00091,CU01995,Hatchback,MG Comet,30,2
V00092,CU02821,SUV,Mahindra XUV400,82,4
V00093,CU01072,Commercial Van,Tata Ace EV,80,1
V00094,CU02032,Hatchback,Tata Tiago EV,35,4
V00095,CU01250,Sedan,MG5,60,4
V00096,CU01296,Hatchback,MG Comet,35,2
V00097,CU03557,Two-Wheeler,Ola S1,4,1
V00098,CU00328,Sedan,MG5,60,0
V00099,CU00797,Hatchback,Tata Tiago EV,40,1
V00100,CU02862,Two-Wheeler,Ather 450X,3,0
V00101,CU04761,SUV,Mahindra XUV400,100,3
V00102,CU02794,Sedan,BYD Seal,55,3
V00103,CU03095,Sedan,MG5,55,1
V00104,CU02978,Sedan,BYD Seal,55,4
V00105,CU00963,Sedan,MG5,50,2
V00106,CU01269,Sedan,MG5,60,2
V00107,CU00373,SUV,Tata Nexon EV,82,1
V00108,CU04381,Two-Wheeler,Ather 450X,4,1
V00109,CU02569,SUV,Hyundai Ioniq 5,100,3
V00110,CU04903,Sedan,MG5,60,4
V00111,CU04743,SUV,Hyundai Ioniq 5,82,0
V00112,CU03694,Two-Wheeler,Ather 450X,2,0
V00113,CU01605,Hatchback,MG Comet,40,0
V00114,CU00096,Hatchback,Tata Tiago EV,35,4
V00115,CU04370,SUV,Tata Nexon EV,100,3
V00116,CU03942,SUV,Hyundai Ioniq 5,75,2
V00117,CU01201,Hatchback,MG Comet,35,2
V00118,CU03945,Two-Wheeler,Ather 450X,4,1
V00119,CU04880,SUV,Mahindra XUV400,75,4
V00120,CU00132,Commercial Van,Mahindra Treo,60,2
V00121,CU03116,Hatchback,MG Comet,40,0
V00122,CU01391,Two-Wheeler,Ola S1,2,3
V00123,CU01150,Hatchback,Tata Tiago EV,40,0
V00124,CU03511,SUV,Tata Nexon EV,82,3
V00125,CU03648,SUV,Mahindra XUV400,75,0
V00126,CU00808,Sedan,BYD Seal,60,2
V00127,CU04840,Two-Wheeler,Ola S1,4,4
V00128,CU00051,Hatchback,Tata Tiago EV,40,2
V00129,CU03209,SUV,Tata Nexon EV,82,4
V00130,CU00056,Hatchback,MG Comet,30,2
V00131,CU03665,Two-Wheeler,Ola S1,2,3
V00132,CU00744,Hatchback,Tata Tiago EV,40,0
V00133,CU04539,Two-Wheeler,Ather 450X,3,2
V00134,CU02877,Two-Wheeler,Ola S1,2,1
V00135,CU00080,Two-Wheeler,Ola S1,4,0
V00136,CU04473,Hatchback,Tata Tiago EV,35,2
V00137,CU03941,SUV,Tata Nexon EV,100,0
V00138,CU02967,Hatchback,Tata Tiago EV,40,1
V00139,CU03729,Two-Wheeler,Ather 450X,3,2
V00140,CU04537,Two-Wheeler,Ather 450X,2,0
V00141,CU00126,SUV,Hyundai Ioniq 5,70,1
V00142,CU00219,Two-Wheeler,Ola S1,2,4
V00143,CU00948,Hatchback,MG Comet,40,2
V00144,CU04374,SUV,Hyundai Ioniq 5,100,1
V00145,CU00595,Sedan,BYD Seal,60,3
V00146,CU00141,Commercial Van,Tata Ace EV,120,2
V00147,CU02894,Two-Wheeler,Ola S1,3,0
V00148,CU03056,Two-Wheeler,Ola S1,2,3
V00149,CU01631,Commercial Van,Mahindra Treo,60,3
